common.name,scientific.name,state,query.volume.state,encounter.state.normalized
white-headed woodpecker,Picoides albolarvatus,Kentucky,0,0
white-headed woodpecker,Picoides albolarvatus,Louisiana,0,0
white-headed woodpecker,Picoides albolarvatus,Maine,0,0
white-headed woodpecker,Picoides albolarvatus,Maryland,0,0
white-headed woodpecker,Picoides albolarvatus,Massachusetts,0,0
white-headed woodpecker,Picoides albolarvatus,Michigan,0,0
white-headed woodpecker,Picoides albolarvatus,Minnesota,0,0
white-headed woodpecker,Picoides albolarvatus,Mississippi,0,0
white-headed woodpecker,Picoides albolarvatus,Missouri,0,0
white-headed woodpecker,Picoides albolarvatus,Montana,0,0
white-headed woodpecker,Picoides albolarvatus,Nebraska,0,0
white-headed woodpecker,Picoides albolarvatus,Nevada,0,88.22870616
white-headed woodpecker,Picoides albolarvatus,New Hampshire,0,0
white-headed woodpecker,Picoides albolarvatus,New Jersey,0,0
white-headed woodpecker,Picoides albolarvatus,New Mexico,0,0
white-headed woodpecker,Picoides albolarvatus,New York,0,0
white-headed woodpecker,Picoides albolarvatus,North Carolina,0,0
white-headed woodpecker,Picoides albolarvatus,North Dakota,0,0
white-headed woodpecker,Picoides albolarvatus,Ohio,0,0
white-headed woodpecker,Picoides albolarvatus,Oklahoma,0,0
white-headed woodpecker,Picoides albolarvatus,Oregon,0,45.58304684
white-headed woodpecker,Picoides albolarvatus,Pennsylvania,0,0
white-headed woodpecker,Picoides albolarvatus,Rhode Island,0,0
white-headed woodpecker,Picoides albolarvatus,South Carolina,0,0
white-headed woodpecker,Picoides albolarvatus,South Dakota,0,0
white-headed woodpecker,Picoides albolarvatus,Tennessee,0,0
white-headed woodpecker,Picoides albolarvatus,Texas,0,0
white-headed woodpecker,Picoides albolarvatus,Utah,0,0
white-headed woodpecker,Picoides albolarvatus,Vermont,0,0
white-headed woodpecker,Picoides albolarvatus,Virginia,0,0
white-headed woodpecker,Picoides albolarvatus,Washington,0,36.22416471
